Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(40)
1.0824524163733227e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33450321719632131,0.1156056189327878,0.022821567693054285,0.0,6.9215451589469891e-25,8.7829968445932057e-12,0.0,6.7873373632649327e-19,0.0,1.093499353470003e-09,2.5278679039979614e-36,1.0759333611381975e-09,6.9860964792529251e-27,1.056488968133968e-31,0.0,0.0,8.5629038241516286e-23,1.3942328256610001e-27,0.0030643460036782659
1.0963668847453345e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33447696602020865,0.11557936774266914,0.022821567693054285,0.0,7.2804571423468598e-25,9.0069836635644552e-12,0.0,7.0518313973094873e-19,0.0,1.1075054284728924e-09,2.7240376539877131e-36,1.0894914625560402e-09,7.3367071058833189e-27,1.1257244890039761e-31,0.0,0.0,8.8938604967346165e-23,1.483500946533159e-27,0.0030905971797908433
1.1102813531173463e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33445096822205728,0.11555336993051203,0.022821567693054285,0.0,7.653066078383088e-25,9.2337234602445632e-12,0.0,7.3231005044465918e-19,0.0,1.1215111416464183e-09,2.9326066023822541e-36,1.103043696190456e-09,7.6999837235925609e-27,1.1985333599946032e-31,0.0,0.0,9.2331564706813537e-23,1.5772187905239823e-27,0.003116594977942244
1.1241958214893581e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33442522135437436,0.11552762304882368,0.022821567693054285,0.0,8.039711425022695e-25,9.4632142578990139e-12,0.0,7.6012301927981372e-19,0.0,1.1355165210778313e-09,3.1541833262986941e-36,1.1165900940821826e-09,8.0762066261506497e-27,1.2750514654832547e-31,0.0,0.0,9.5808918579366742e-23,1.6755460091045553e-27,0.0031423418456252147
1.1381102898613699e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33439972299334469,0.11550212467378898,0.022821567693054285,0.0,8.4407366043979039e-25,9.6954541006447766e-12,0.0,7.8863059780432821e-19,0.0,1.1495215945848326e-09,3.3893977961749573e-36,1.1301306879607037e-09,8.4656582781984456e-27,1.355418054029334e-31,0.0,0.0,9.9371666568481842e-23,1.7786457617129464e-27,0.0031678402066548359
1.1520247582333817e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33437447073859611,0.11547687240503549,0.022821567693054285,0.0,8.8564889977416594e-25,9.9304410531681494e-12,0.0,8.1784133839839264e-19,0.0,1.1635263897181604e-09,3.6389018230608193e-36,1.1436655092474028e-09,8.8686232920026779e-27,1.4397757780681098e-31,0.0,0.0,1.0302080753019322e-22,1.8866847433114992e-27,0.0031930924614035272
1.1659392266053935e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33434946221297612,0.11545186386541102,0.022821567693054285,0.0,9.2873199406979018e-25,1.0168173200462697e-11,0.0,8.4776379430698548e-19,0.0,1.1775309337640529e-09,3.9033695241673536e-36,1.1571945890585471e-09,9.2853884059264326e-27,1.5282707333852469e-31,0.0,0.0,1.0675733920102252e-22,1.9998332104076402e-27,0.0032181009870234445
1.1798536949774053e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33432469506233203,0.11542709670076265,0.022821567693054285,0.0,9.7335847186939374e-25,1.0408648647569439e-11,0.0,8.7840651969194553e-19,0.0,1.1915352537466872e-09,4.1834977904214081e-36,1.1707179582082495e-09,9.7162424631125122e-27,1.6210524985620301e-31,0.0,0.0,1.1058225820583256e-22,2.1182650068826095e-27,0.003242868137667514
1.1937681633494171e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33430016695528153,0.11540256857970808,0.022821567693054285,0.0,1.0195642562048049e-24,1.0651865519304569e-11,0.0,9.0977806968653747e-19,0.0,1.2055393764307046e-09,4.4800067428389651e-36,1.1842356472115354e-09,1.0161476389111402e-26,1.7182741745645024e-31,0.0,0.0,1.1449656006605235e-22,2.2421575907682144e-27,0.0032673962447179565
1.2076826317214289e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33427587558299648,0.11537827719341898,0.022821567693054285,0.0,1.0673856641472072e-24,1.0897821960006267e-11,0.0,9.4188700044620134e-19,0.0,1.2195433283236085e-09,4.7936402061093263e-36,1.1977476862872496e-09,1.0621383171146843e-26,1.8200924241147122e-31,0.0,0.0,1.1850123920732641e-22,2.3716920595539692e-27,0.003291687617003099
