Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OHX(46),OX(20),HX(19),CH3OX(45)
2.1226637692662894e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599491865,0.0,0.1764705892873431,0.0,0.0,2.3320779441723573e-27,0.0,0.0,0.0,0.0,0.0,8.922235095226662e-24,0.0,0.11764705443613112,0.0,0.0,0.0,0.0,5.558944835309523e-09,1.4253138641768726e-09,4.924065369731956e-12,4.924065369740882e-12
2.2668007994868613e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994871566903,0.0,0.17647058924098533,0.0,0.0,2.8401382916826457e-27,0.0,0.0,0.0,0.0,0.0,1.0175069361913658e-23,0.0,0.11764705405835003,0.0,0.0,0.0,0.0,5.93639154585813e-09,1.5180294645801245e-09,5.258428321009382e-12,5.258428321019563e-12
2.4109378297074332e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599482456125,0.0,0.17647058919501304,0.0,0.0,3.417097972996327e-27,0.0,0.0,0.0,0.0,0.0,1.1510182354002906e-23,0.0,0.1176470536805724,0.0,0.0,0.0,0.0,6.313834821074272e-09,1.6099739849373572e-09,5.592791270101943e-12,5.59279127011346e-12
2.555074859928005e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599477763702,0.0,0.17647058914944622,0.0,0.0,4.067338027414271e-27,0.0,0.0,0.0,0.0,0.0,1.2927574069225263e-23,0.0,0.11764705330279819,0.0,0.0,0.0,0.0,6.6912746609902715e-09,1.701107727556381e-09,5.927154217010911e-12,5.9271542170238466e-12
2.699211890148577e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599473079803,0.0,0.17647058910430377,0.0,0.0,4.795239494133958e-27,0.0,0.0,0.0,0.0,0.0,1.442724450546707e-23,0.0,0.11764705292502743,0.0,0.0,0.0,0.0,7.068711065638492e-09,1.7913925638433448e-09,6.261517161737651e-12,6.261517161752087e-12
2.8433489203691485e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599468404791,0.0,0.17647058905960408,0.0,0.0,5.6051834122498736e-27,0.0,0.0,0.0,0.0,0.0,1.600919366076774e-23,0.0,0.11764705254726009,0.0,0.0,0.0,0.0,7.446144035051342e-09,1.880791984932838e-09,6.595880104283611e-12,6.595880104299631e-12
2.9874859505897204e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994637390175,0.0,0.17647058901536447,0.0,0.0,6.501550820753416e-27,0.0,0.0,0.0,0.0,0.0,1.7673421533181817e-23,0.0,0.1176470521694962,0.0,0.0,0.0,0.0,7.823573569261283e-09,1.9692711459726773e-09,6.9302430446503284e-12,6.930243044668013e-12
3.1316229808102923e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599459082811,0.0,0.1764705889716016,0.0,0.0,7.488722758532721e-27,0.0,0.0,0.0,0.0,0.0,1.941992812069996e-23,0.0,0.11764705179173572,0.0,0.0,0.0,0.0,8.200999668300806e-09,2.0567969041595766e-09,7.264605982839413e-12,7.264605982858848e-12
3.275760011030864e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.2855599454436487,0.0,0.1764705889283311,0.0,0.0,8.571080264372702e-27,0.0,0.0,0.0,0.0,0.0,2.1248713421266204e-23,0.0,0.1176470514139787,0.0,0.0,0.0,0.0,8.578422332202469e-09,2.143337850568257e-09,7.598968918852557e-12,7.598968918873823e-12
3.419897041251436e-14,0.09846895040710585,0.70588235,0.0,0.0,0.0,0.28555994498003434,0.0,0.17647058888556788,0.0,0.0,9.75300437695525e-27,0.0,0.0,0.0,0.0,0.0,2.3159777432829638e-23,0.0,0.11764705103622512,0.0,0.0,0.0,0.0,8.955841560998851e-09,2.228864335817212e-09,7.933331852691526e-12,7.933331852714705e-12
