Time (s),Volume (m^3),N2,Ne,X(1),H2(2),H(3),NH3(4),H2X(49),HX(5)
4.1579047559555026e-07,0.03101298056,0.33333333333333331,0.0,0.021864257599112213,0.63173636097344799,4.2872840827787494e-29,0.0,0.0017872253615520627,0.066286160663335758
4.17532785351308e-07,0.03101298056,0.33333333333333331,0.0,0.021863945717939259,0.63173621860445039,4.3015451760341512e-29,0.0,0.0017871982183743473,0.066286499687686434
4.192750951070658e-07,0.03101298056,0.33333333333333331,0.0,0.021863644274680731,0.6317360810001893,4.3157643761722931e-29,0.0,0.0017871719836377803,0.066286827365681547
4.2101740486282355e-07,0.03101298056,0.33333333333333331,0.0,0.021863352919915532,0.63173594800116084,4.3299417978193848e-29,0.0,0.0017871466269296691,0.06628714407715483
4.227597146185813e-07,0.03101298056,0.33333333333333331,0.0,0.021863071315925672,0.63173581945320278,4.344077555551703e-29,0.0,0.0017871221188560343,0.066287450189218333
4.2450202437433907e-07,0.03101298056,0.33333333333333331,0.0,0.021862799136303939,0.63173569520731598,4.3581717638868631e-29,0.0,0.0017870984310074519,0.066287746056688676
4.2624433413009683e-07,0.03101298056,0.33333333333333331,0.0,0.021862536065574749,0.63173557511949219,4.3722245372753932e-29,0.0,0.0017870755359260398,0.066288032022499277
4.279866438858546e-07,0.03101298056,0.33333333333333331,0.0,0.021862281798827651,0.63173545905054485,4.3862359900925848e-29,0.0,0.0017870534070735548,0.066288308418098851
4.2972895364161235e-07,0.03101298056,0.33333333333333331,0.0,0.021862036041363223,0.63173534686594912,4.4002062366306334e-29,0.0,0.001787032018800562,0.066288575563836272
4.314712633973701e-07,0.03101298056,0.33333333333333331,0.0,0.021861798508350832,0.63173523843568502,4.4141353910910314e-29,0.0,0.0017870113463166386,0.066288833769332603
4.332135731531279e-07,0.03101298056,0.33333333333333331,0.0,0.021861568924497844,0.63173513363408595,4.4280235675772366e-29,0.0,0.0017869913656615795,0.066289083333840648
4.3495588290888564e-07,0.03101298056,0.33333333333333331,0.0,0.02186134702372998,0.63173503233969397,4.4418708800875753e-29,0.0,0.0017869720536775671,0.066289324546592518
4.366981926646434e-07,0.03101298056,0.33333333333333331,0.0,0.021861132548882427,0.63173493443511808,4.4556774425084069e-29,0.0,0.0017869533879822808,0.066289557687135375
4.3844050242040116e-07,0.03101298056,0.33333333333333331,0.0,0.021860925251401257,0.63173483980689715,4.4694433686075156e-29,0.0,0.0017869353469429025,0.066289783025655899
4.401828121761589e-07,0.03101298056,0.33333333333333331,0.0,0.02186072489105487,0.63173474834536969,4.4831687720277326e-29,0.0,0.0017869179096510019,0.066290000823294185
4.419251219319167e-07,0.03101298056,0.33333333333333331,0.0,0.021860531235655185,0.63173465994454636,4.4968537662807916e-29,0.0,0.0017869010558982596,0.066290211332446614
4.4366743168767444e-07,0.03101298056,0.33333333333333331,0.0,0.021860344060788114,0.63173457450198545,4.5104984647413799e-29,0.0,0.0017868847661530066,0.066290414797058952
4.454097414434322e-07,0.03101298056,0.33333333333333331,0.0,0.021860163149553118,0.6317344919186757,4.5241029806414249e-29,0.0,0.0017868690215375506,0.06629061145290939
